2020-01-20-upload.pdf   [Status: 200, Size: 11632, Words: 157, Lines: 127, Duration: 130ms]
2020-01-23-upload.pdf   [Status: 200, Size: 11557, Words: 167, Lines: 136, Duration: 138ms]
2020-01-01-upload.pdf   [Status: 200, Size: 26835, Words: 241, Lines: 209, Duration: 50ms]
2020-01-10-upload.pdf   [Status: 200, Size: 26400, Words: 232, Lines: 205, Duration: 63ms]
2020-01-04-upload.pdf   [Status: 200, Size: 27522, Words: 223, Lines: 196, Duration: 99ms]
2020-02-17-upload.pdf   [Status: 200, Size: 11228, Words: 167, Lines: 132, Duration: 65ms]
2020-01-02-upload.pdf   [Status: 200, Size: 27002, Words: 229, Lines: 199, Duration: 135ms]
2020-01-22-upload.pdf   [Status: 200, Size: 28637, Words: 236, Lines: 224, Duration: 130ms]
2020-02-28-upload.pdf   [Status: 200, Size: 11543, Words: 167, Lines: 131, Duration: 76ms]
2020-01-30-upload.pdf   [Status: 200, Size: 26706, Words: 242, Lines: 193, Duration: 138ms]
2020-01-25-upload.pdf   [Status: 200, Size: 26252, Words: 225, Lines: 193, Duration: 168ms]
2020-02-11-upload.pdf   [Status: 200, Size: 25245, Words: 241, Lines: 198, Duration: 95ms]
2020-03-21-upload.pdf   [Status: 200, Size: 11250, Words: 157, Lines: 134, Duration: 100ms]
2020-02-23-upload.pdf   [Status: 200, Size: 27378, Words: 247, Lines: 213, Duration: 74ms]
2020-02-24-upload.pdf   [Status: 200, Size: 27332, Words: 237, Lines: 206, Duration: 75ms]
2020-04-02-upload.pdf   [Status: 200, Size: 11466, Words: 156, Lines: 134, Duration: 102ms]
2020-03-05-upload.pdf   [Status: 200, Size: 26124, Words: 221, Lines: 205, Duration: 75ms]
2020-03-04-upload.pdf   [Status: 200, Size: 26194, Words: 235, Lines: 202, Duration: 75ms]
2020-03-13-upload.pdf   [Status: 200, Size: 24888, Words: 213, Lines: 204, Duration: 108ms]
2020-03-17-upload.pdf   [Status: 200, Size: 27227, Words: 221, Lines: 210, Duration: 107ms]
2020-03-12-upload.pdf   [Status: 200, Size: 27143, Words: 233, Lines: 213, Duration: 109ms]
2020-04-04-upload.pdf   [Status: 200, Size: 27949, Words: 226, Lines: 208, Duration: 102ms]
2020-05-03-upload.pdf   [Status: 200, Size: 26093, Words: 233, Lines: 208, Duration: 80ms]
2020-05-11-upload.pdf   [Status: 200, Size: 27244, Words: 243, Lines: 207, Duration: 64ms]
2020-04-15-upload.pdf   [Status: 200, Size: 26689, Words: 227, Lines: 212, Duration: 62ms]
2020-05-24-upload.pdf   [Status: 200, Size: 11857, Words: 174, Lines: 149, Duration: 64ms]
2020-05-29-upload.pdf   [Status: 200, Size: 11532, Words: 159, Lines: 132, Duration: 71ms]
2020-06-03-upload.pdf   [Status: 200, Size: 11381, Words: 160, Lines: 136, Duration: 56ms]
2020-04-23-upload.pdf   [Status: 200, Size: 24865, Words: 224, Lines: 212, Duration: 76ms]
2020-06-02-upload.pdf   [Status: 200, Size: 27797, Words: 236, Lines: 212, Duration: 56ms]
2020-05-01-upload.pdf   [Status: 200, Size: 28228, Words: 237, Lines: 194, Duration: 75ms]
2020-06-08-upload.pdf   [Status: 200, Size: 11540, Words: 165, Lines: 135, Duration: 59ms]
2020-05-07-upload.pdf   [Status: 200, Size: 26062, Words: 225, Lines: 183, Duration: 65ms]
2020-05-17-upload.pdf   [Status: 200, Size: 26448, Words: 239, Lines: 207, Duration: 62ms]
2020-06-12-upload.pdf   [Status: 200, Size: 11575, Words: 159, Lines: 128, Duration: 71ms]
2020-06-22-upload.pdf   [Status: 200, Size: 26278, Words: 239, Lines: 207, Duration: 70ms]
2020-06-15-upload.pdf   [Status: 200, Size: 27121, Words: 245, Lines: 206, Duration: 71ms]
2020-06-21-upload.pdf   [Status: 200, Size: 26060, Words: 246, Lines: 210, Duration: 71ms]
